周り,"circumference, girth",まわ,Noun
学校,school,がっこう,Noun
川,"river, stream",かわ,Noun
手,"hand, arm",て,Noun
戸,door (esp. Japanese-style),と,Noun
眼鏡,"glasses, eyeglasses, spectacles",めがね,Noun
煙草,"tobacco, cigarette, cigaret, cigar",たばこ,Noun
赤,"red, crimson, scarlet",あか,"Noun, Noun which may take the genitive case particle 'no'"
仕事,"work, job, labor, labour, business, task, assignment, occupation, employment",しごと,"Noun, Suru verb, Intransitive verb"
英語,English (language),えいご,Noun
問題,"question (e.g. on a test), problem",もんだい,Noun
部屋,"room, chamber",へや,Noun
子供,"child, children",こども,Noun
時間,time,じかん,Noun
雨,rain,あめ,Noun
先生,"teacher, instructor, master",せんせい,Noun
年,year,とし,"Noun, Adverb "
手紙,"letter, missive, note, mail",てがみ,Noun
電話,"telephone call, phone call",でんわ,"Noun, Suru verb, Noun which may take the genitive case particle 'no'"
水,"water (esp. cool, fresh water, e.g. drinking water)",みず,Noun
病気,"illness (usu. excluding minor ailments, e.g. common cold), disease, sickness",びょうき,"Noun, Noun which may take the genitive case particle 'no'"
上げる,"to raise, to elevate",あ,"Ichidan verb, Transitive verb"
結婚,marriage,けっこん,"Noun, Suru verb, Intransitive verb"
言葉,"language, dialect",ことば,Noun
目,"eye, eyeball",め,Noun
走る,to run,はし,"Godan verb with ru ending, Intransitive verb"
名前,name,なまえ,Noun
旅行,"travel, trip, journey, excursion, tour",りょこう,"Noun, Suru verb, Intransitive verb"
道,"road, path, street, lane, passage",みち,Noun
飛行機,"airplane, aeroplane, plane, aircraft",ひこうき,Noun
映画,"movie, film, motion picture",えいが,Noun
音楽,music,おんがく,Noun
木,"tree, shrub, bush",き,Noun
大学,"university, college",だいがく,Noun
時計,"clock, watch, timepiece",とけい,Noun
家族,family,かぞく,Noun
花,"flower, blossom, bloom, petal",はな,Noun
猫,"cat (esp. the domestic cat, Felis catus)",ねこ,Noun
毎日,every day,まいにち,"Noun, Adverb "
宿題,"homework, assignment",しゅくだい,Noun
雪,"snow, snowfall",ゆき,Noun
山,"mountain, hill",やま,"Noun, Counter"
窓,window,まど,Noun
動物,animal,どうぶつ,Noun
夜,"evening, night",よる,"Noun, Adverb "
料理,"cooking, cookery, cuisine, meal, food, dish, item on a menu",りょうり,"Noun, Suru verb, Transitive verb"
夏,summer,なつ,"Noun, Adverb "
新聞,newspaper,しんぶん,Noun
公園,(public) park,こうえん,Noun
意味,"meaning, significance, sense",いみ,"Noun, Suru verb, Transitive verb"
自転車,"bicycle, bike",じてんしゃ,Noun
足,"foot, paw, arm (of an octopus, squid, etc.)",あし,Noun
電車,"train, electric train",でんしゃ,Noun
散歩,"walk, stroll",さんぽ,"Noun, Suru verb, Intransitive verb"
声,voice,こえ,Noun
朝,morning,あさ,"Noun, Adverb "
歌,"song, singing",うた,Noun
靴,"shoe, shoes, boots, footwear, footgear",くつ,Noun
箱,"box, case, chest, package, pack, crate",はこ,Noun
机,desk,つくえ,Noun
帽子,"hat, cap",ぼうし,Noun
海,"sea, ocean, waters",うみ,Noun
授業,"lesson, class, teaching, instruction, classwork, schoolwork",じゅぎょう,"Noun, Suru verb, Intransitive verb"
銀行,"bank, banking institution",ぎんこう,Noun
写真,"photograph, photo, picture, snapshot, snap",しゃしん,Noun
冬,winter,ふゆ,"Noun, Adverb "
村,village,むら,Noun
傘,"umbrella, parasol",かさ,Noun
口,mouth,くち,Noun
橋,bridge,はし,Noun
病院,"hospital, clinic, doctor's office, doctor's surgery, infirmary",びょういん,Noun
図書館,library,としょかん,Noun
春,"spring, springtime",はる,"Noun, Adverb "
買い物,"shopping, purchased goods",か,"Noun, Suru verb, Intransitive verb"
椅子,"chair, stool",いす,Noun
自動車,"car, automobile, motorcar, motor vehicle, auto",じどうしゃ,Noun
色,"colour, color, hue, tint, tinge, shade",いろ,Noun
卵,"eggs, egg, spawn, roe",たまご,Noun
肉,flesh,にく,Noun
風邪,"(common) cold, influenza, flu, ague, inflammatory respiratory system illness (in general)",かぜ,Noun
掃除,"cleaning, sweeping, dusting, scrubbing",そうじ,"Noun, Suru verb, Transitive verb"
紙,paper,かみ,Noun
鍵,key,かぎ,Noun
雑誌,"journal, magazine, periodical",ざっし,Noun
切符,ticket,きっぷ,Noun
外国人,"foreigner, foreign citizen, foreign national, alien, non-Japanese",がいこくじん,Noun
財布,"purse, handbag, wallet",さいふ,Noun
鉛筆,pencil,えんぴつ,Noun
大人,"adult, grown-up",おとな,"Noun, Noun which may take the genitive case particle 'no', Na-adjective "
地図,"map, atlas, chart, plan",ちず,Noun
塩,"salt, common salt, table salt, sodium chloride",しお,Noun
夏休み,"summer vacation, summer holiday",なつやす,Noun
砂糖,sugar,さとう,Noun
池,pond,いけ,Noun
郵便局,post office,ゆうびんきょく,Noun
教室,"classroom, lecture room",きょうしつ,Noun
耳,ear,みみ,Noun
切手,"stamp (postage), merchandise certificate",きって,Noun
台所,kitchen,だいどころ,"Noun, Noun which may take the genitive case particle 'no'"
電気,electricity,でんき,Noun
歯,"tooth, teeth",は,Noun
作文,"writing (an essay, prose, etc.), composition",さくぶん,"Noun, Suru verb, Intransitive verb"
紅茶,black tea,こうちゃ,Noun
家庭,"home, household, family, hearth",かてい,Noun
野菜,vegetable,やさい,Noun
風呂,"bath, bathing, bathtub, bathroom",ふろ,Noun
玄関,"entrance, front door, entryway, entranceway, entry hall, vestibule, porch, foyer, mud room",げんかん,Noun
地下鉄,"subway, metro, underground (railway)",ちかてつ,Noun
鼻,nose,はな,Noun
緑,green,みどり,"Noun, Noun which may take the genitive case particle 'no'"
昼,"noon, midday",ひる,Noun
西,west,にし,Noun
白,white,しろ,Noun
洗濯,"washing, laundry",せんたく,"Noun, Suru verb"
冷蔵庫,"refrigerator, fridge",れいぞうこ,Noun
南,south,みなみ,Noun
火曜日,Tuesday,かようび,"Noun, Adverb "
北,north,きた,Noun
茶色,"brown, light brown, tawny",ちゃいろ,"Noun, Noun which may take the genitive case particle 'no'"
黒,black,くろ,Noun
喫茶店,"coffee shop, tearoom, coffee lounge, coffeehouse, cafe",きっさてん,Noun
青,"blue, azure",あお,"Noun, Noun which may take the genitive case particle 'no'"
靴下,"socks, sock, stockings, stocking",くつした,Noun
封筒,envelope,ふうとう,Noun
辺,"area, vicinity, region",へん,Noun
黄色,"yellow, amber",きいろ,"Noun, Noun which may take the genitive case particle 'no', Na-adjective "
映画館,"movie theatre, movie theater, cinema",えいがかん,Noun
箸,chopsticks,はし,Noun
食堂,"dining room, dining hall, cafeteria, canteen, messroom",しょくどう,Noun
牛肉,beef,ぎゅうにく,Noun
交差点,"crossing, intersection",こうさてん,Noun
茶わん,"rice bowl, tea cup, teacup",ちゃ,Noun
曇り,"cloudiness, cloudy weather",くも,Noun
漢字,"kanji, Chinese character",かんじ,Noun
背広,business suit,せびろ,Noun
灰皿,ashtray,はいざら,Noun
万年筆,fountain pen,まんねんひつ,Noun
大使館,embassy,たいしかん,Noun
交番,"police box, koban, small neighborhood police station",こうばん,Noun
豚肉,pork,ぶたにく,Noun
飲む,"to drink, to gulp, to swallow, to take (medicine)",の,"Godan verb with mu ending, Transitive verb"
頭,head,あたま,Noun
日曜日,Sunday,にちようび,"Noun, Adverb "
誕生日,birthday,たんじょうび,Noun
可愛い,"cute, adorable, charming, lovely, pretty",かわいい,I-adjective 
鞄,"bag, satchel, briefcase, basket",かばん,Noun
土曜日,Saturday,どようび,"Noun, Adverb "
月曜日,Monday,げつようび,"Noun, Adverb "
金曜日,Friday,きんようび,"Noun, Adverb "
花瓶,(flower) vase,かびん,Noun
本棚,"bookshelves, bookshelf, bookcase",ほんだな,Noun
木曜日,Thursday,もくようび,"Noun, Adverb "
石鹸,soap,せっけん,Noun
水曜日,Wednesday,すいようび,"Noun, Adverb "
飴,"(hard) candy, toffee",あめ,Noun
八百屋,"greengrocer, fruit and vegetable shop",やおや,Noun
腕,arm,うで,Noun
人形,"doll, puppet, marionette",にんぎょう,Noun
文化,"culture, civilization, civilisation",ぶんか,Noun
海岸,"coast, beach",かいがん,"Noun, Noun which may take the genitive case particle 'no'"
産業,industry,さんぎょう,"Noun, Noun which may take the genitive case particle 'no'"
動物園,"zoo, zoological gardens",どうぶつえん,Noun
美術館,"art museum, art gallery",びじゅつかん,Noun
水道,"water supply, water service, waterworks, tap water",すいどう,Noun
飛行場,"airfield, airport",ひこうじょう,Noun
葡萄,"grape, grapevine",ぶどう,Noun
成る,"to become, to get, to grow, to turn, to reach, to attain",なる,"Godan verb with ru ending, Intransitive verb"
程,"extent, degree, measure",ほど,"Noun, Adverb "
事故,"accident, incident, trouble",じこ,Noun
息子,son,むすこ,Noun
生活,"life, living",せいかつ,"Noun, Suru verb, Intransitive verb"
注意,"attention, notice, heed",ちゅうい,"Noun, Suru verb, Intransitive verb"
女性,"woman, female",じょせい,"Noun, Noun which may take the genitive case particle 'no'"
生きる,"to live, to exist",い,"Ichidan verb, Intransitive verb"
船,"ship, boat, watercraft, vessel, seaplane",ふね,Noun
説明,"explanation, exposition, description, account, caption, legend",せつめい,"Noun, Suru verb, Transitive verb"
警察,police,けいさつ,Noun
危険,"danger, peril, hazard",きけん,"Noun, Na-adjective "
世界,"the world, society, the universe",せかい,Noun
戦争,war,せんそう,"Noun, Suru verb, Intransitive verb"
小説,"novel, story, (work of) fiction",しょうせつ,Noun
関係,"relation, relationship, connection",かんけい,"Noun, Suru verb, Intransitive verb"
研究,"study, research, investigation",けんきゅう,"Noun, Suru verb, Transitive verb"
会議,"meeting, conference, session, assembly, council, convention, congress",かいぎ,"Noun, Suru verb, Intransitive verb, Transitive verb"
音,"sound, noise, report",おと,"Noun, Noun, used as a suffix"
普通,"normal, ordinary, regular, usual, common, average",ふつう,"Noun which may take the genitive case particle 'no', Na-adjective "
湖,lake,みずうみ,Noun
夢,dream,ゆめ,Noun
空港,airport,くうこう,Noun
数学,mathematics,すうがく,Noun
教育,"education, schooling, training, instruction, teaching, upbringing",きょういく,"Noun, Suru verb, Transitive verb"
赤ちゃん,"baby, infant",あか,Noun
火,"fire, flame, blaze",ひ,"Noun, Noun, used as a suffix"
自由,"freedom, liberty",じゆう,"Noun, Na-adjective "
森,forest,もり,Noun
法律,law,ほうりつ,Noun
気分,"feeling, mood",きぶん,Noun
壁,"wall, partition",かべ,Noun
田舎,"rural area, countryside, the sticks",いなか,Noun
気,"spirit, mind, heart",き,Noun
男性,"man, male",だんせい,"Noun, Noun which may take the genitive case particle 'no'"
地震,earthquake,じしん,Noun
人口,population,じんこう,Noun
故障,"fault, trouble, breakdown, failure, being out of order",こしょう,"Noun, Suru verb, Intransitive verb"
残念,"regrettable, unfortunate, disappointing, vexing",ざんねん,"Na-adjective , Noun"
島,island,しま,Noun
教会,"church, congregation",きょうかい,Noun
歴史,history,れきし,Noun
社会,"society, public, community, the world",しゃかい,Noun
住所,"address, residence, domicile",じゅうしょ,Noun
工場,"factory, plant, mill, workshop",こうじょう,Noun
趣味,"hobby, pastime",しゅみ,Noun
経済,"economy, economics",けいざい,Noun
台風,"typhoon, hurricane",たいふう,Noun
卒業,"graduation, completion (of a course)",そつぎょう,"Noun, Suru verb, Intransitive verb"
雲,cloud,くも,Noun
光,light,ひかり,Noun
科学,science,かがく,Noun
贈り物,"present, gift",おく,Noun
政治,"politics, government",せいじ,Noun
特別,"special, particular, extraordinary, exceptional, especial",とくべつ,"Na-adjective , Noun which may take the genitive case particle 'no', Adverb , Noun"
水泳,swimming,すいえい,"Noun, Suru verb, Intransitive verb, Noun which may take the genitive case particle 'no'"
講義,lecture,こうぎ,"Noun, Suru verb, Transitive verb"
指,"finger, toe, digit",ゆび,Noun
生産,"production, manufacture",せいさん,"Noun, Suru verb, Transitive verb"
会話,"conversation, talk, chat",かいわ,"Noun, Suru verb, Intransitive verb"
玩具,toy,おもちゃ,Noun
季節,"season, time of year",きせつ,"Noun, Noun which may take the genitive case particle 'no'"
翻訳,translation,ほんやく,"Noun, Suru verb, Transitive verb"
貿易,"(foreign) trade, (international) commerce, importing and exporting",ぼうえき,"Noun, Suru verb, Intransitive verb"
文学,literature,ぶんがく,Noun
葉,"leaf, blade (of grass), (pine) needle",は,Noun
交通,"traffic, transportation, communication, exchange (of ideas, etc.), intercourse",こうつう,"Noun, Suru verb"
遊び,"play, playing, game",あそ,Noun
道具,"tool, implement, instrument, utensil, apparatus, device",どうぐ,Noun
入学,"admission (to a school or university), entrance, enrolment, enrollment, matriculation",にゅうがく,"Noun, Suru verb, Intransitive verb"
背中,back (of the body),せなか,Noun
発音,pronunciation,はつおん,"Noun, Suru verb"
指輪,(finger) ring,ゆびわ,Noun
医学,"medical science, medicine",いがく,Noun
漫画,"cartoon, comic, comic strip, manga",まんが,Noun
鏡,"mirror, looking-glass",かがみ,Noun
電報,telegram,でんぽう,Noun
校長,"principal, head teacher, headmaster, headmistress",こうちょう,Noun
郊外,"suburb, residential area on the outskirt of a city, commuter belt",こうがい,Noun
市民,"citizen, citizenry, public",しみん,Noun
国際,international,こくさい,"Noun which may take the genitive case particle 'no', Noun"
砂,"sand, grit",すな,Noun
手袋,"glove, mitten, mitt",てぶくろ,Noun
日記,"diary, journal",にっき,Noun
絹,silk,きぬ,Noun
糸,"thread, yarn, string",いと,"Noun, Noun, used as a suffix"
文法,grammar,ぶんぽう,Noun
神社,Shinto shrine,じんじゃ,Noun
駐車場,"parking lot, car park, carpark, parking garage",ちゅうしゃじょう,Noun
小学校,"primary school, elementary school, grade school",しょうがっこう,Noun
展覧会,exhibition,てんらんかい,Noun
西洋,"the West, the Occident, Western countries",せいよう,Noun
先輩,"senior (at work or school), superior, elder, older graduate, progenitor, old-timer",せんぱい,Noun
坂,"slope, incline, hill",さか,Noun
注射,"injection, jab, shot",ちゅうしゃ,"Noun, Suru verb, Transitive verb"
乗り物,"vehicle, conveyance, transport",の,Noun
旅館,"ryokan, traditional Japanese inn",りょかん,Noun
林,"wood, woods, forest, grove, copse, thicket",はやし,Noun
布団,"futon, Japanese bedding consisting of a mattress and a duvet",ふとん,Noun
会議室,"conference room, council room",かいぎしつ,Noun
中学校,"junior high school, middle school, lower secondary school",ちゅうがっこう,Noun
研究室,laboratory,けんきゅうしつ,Noun
